2025-09-22 00:13:26 | INFO | [KRWBTC-20250920-3D849A] 가격=161,550,000 | 평단=162,308,000 | 등락률=-0.47%
2025-09-22 00:13:31 | INFO | [KRWBTC-20250920-3D849A] 가격=161,550,000 | 평단=162,308,000 | 등락률=-0.47%
2025-09-22 00:13:36 | INFO | [KRWBTC-20250920-3D849A] 가격=161,550,000 | 평단=162,308,000 | 등락률=-0.47%
2025-09-22 00:13:41 | INFO | [KRWBTC-20250920-3D849A] 가격=161,550,000 | 평단=162,308,000 | 등락률=-0.47%
2025-09-22 00:13:46 | INFO | [KRWBTC-20250920-3D849A] 가격=161,549,000 | 평단=162,308,000 | 등락률=-0.47%
2025-09-22 00:13:51 | INFO | [KRWBTC-20250920-3D849A] 가격=161,550,000 | 평단=162,308,000 | 등락률=-0.47%
2025-09-22 00:13:56 | INFO | [KRWBTC-20250920-3D849A] 가격=161,549,000 | 평단=162,308,000 | 등락률=-0.47%
2025-09-22 00:14:01 | INFO | [KRWBTC-20250920-3D849A] 가격=161,549,000 | 평단=162,308,000 | 등락률=-0.47%
2025-09-22 00:14:06 | INFO | [KRWBTC-20250920-3D849A] 가격=161,549,000 | 평단=162,308,000 | 등락률=-0.47%
2025-09-22 00:14:11 | INFO | [KRWBTC-20250920-3D849A] 가격=161,549,000 | 평단=162,308,000 | 등락률=-0.47%
2025-09-22 00:14:16 | INFO | [KRWBTC-20250920-3D849A] 가격=161,549,000 | 평단=162,308,000 | 등락률=-0.47%
2025-09-22 00:14:21 | INFO | [KRWBTC-20250920-3D849A] 가격=161,549,000 | 평단=162,308,000 | 등락률=-0.47%
2025-09-22 00:14:26 | INFO | [KRWBTC-20250920-3D849A] 가격=161,549,000 | 평단=162,308,000 | 등락률=-0.47%
2025-09-22 00:14:31 | INFO | [KRWBTC-20250920-3D849A] 가격=161,549,000 | 평단=162,308,000 | 등락률=-0.47%
2025-09-22 00:14:36 | INFO | [KRWBTC-20250920-3D849A] 가격=161,547,000 | 평단=162,308,000 | 등락률=-0.47%
2025-09-22 00:14:41 | INFO | [KRWBTC-20250920-3D849A] 가격=161,549,000 | 평단=162,308,000 | 등락률=-0.47%
2025-09-22 00:14:46 | INFO | [KRWBTC-20250920-3D849A] 가격=161,549,000 | 평단=162,308,000 | 등락률=-0.47%
2025-09-22 00:14:51 | INFO | [KRWBTC-20250920-3D849A] 가격=161,549,000 | 평단=162,308,000 | 등락률=-0.47%
2025-09-22 00:14:56 | INFO | [KRWBTC-20250920-3D849A] 가격=161,547,000 | 평단=162,308,000 | 등락률=-0.47%
2025-09-22 00:15:01 | INFO | [KRWBTC-20250920-3D849A] 가격=161,549,000 | 평단=162,308,000 | 등락률=-0.47%
2025-09-22 00:15:06 | INFO | [KRWBTC-20250920-3D849A] 가격=161,549,000 | 평단=162,308,000 | 등락률=-0.47%
2025-09-22 00:15:11 | INFO | [KRWBTC-20250920-3D849A] 가격=161,549,000 | 평단=162,308,000 | 등락률=-0.47%
2025-09-22 00:15:17 | INFO | [KRWBTC-20250920-3D849A] 가격=161,547,000 | 평단=162,308,000 | 등락률=-0.47%
2025-09-22 00:15:22 | INFO | [KRWBTC-20250920-3D849A] 가격=161,548,000 | 평단=162,308,000 | 등락률=-0.47%
2025-09-22 00:15:27 | INFO | [KRWBTC-20250920-3D849A] 가격=161,548,000 | 평단=162,308,000 | 등락률=-0.47%
2025-09-22 00:15:32 | INFO | [KRWBTC-20250920-3D849A] 가격=161,548,000 | 평단=162,308,000 | 등락률=-0.47%
2025-09-22 00:15:37 | INFO | [KRWBTC-20250920-3D849A] 가격=161,548,000 | 평단=162,308,000 | 등락률=-0.47%
2025-09-22 00:15:42 | INFO | [KRWBTC-20250920-3D849A] 가격=161,548,000 | 평단=162,308,000 | 등락률=-0.47%
2025-09-22 00:15:47 | INFO | [KRWBTC-20250920-3D849A] 가격=161,547,000 | 평단=162,308,000 | 등락률=-0.47%
2025-09-22 00:15:52 | INFO | [KRWBTC-20250920-3D849A] 가격=161,547,000 | 평단=162,308,000 | 등락률=-0.47%
2025-09-22 00:15:57 | INFO | [KRWBTC-20250920-3D849A] 가격=161,547,000 | 평단=162,308,000 | 등락률=-0.47%
2025-09-22 00:16:02 | INFO | [KRWBTC-20250920-3D849A] 가격=161,547,000 | 평단=162,308,000 | 등락률=-0.47%
2025-09-22 00:16:07 | INFO | [KRWBTC-20250920-3D849A] 가격=161,547,000 | 평단=162,308,000 | 등락률=-0.47%
2025-09-22 00:16:12 | INFO | [KRWBTC-20250920-3D849A] 가격=161,546,000 | 평단=162,308,000 | 등락률=-0.47%
2025-09-22 00:16:17 | INFO | [KRWBTC-20250920-3D849A] 가격=161,546,000 | 평단=162,308,000 | 등락률=-0.47%
2025-09-22 00:16:22 | INFO | [KRWBTC-20250920-3D849A] 가격=161,545,000 | 평단=162,308,000 | 등락률=-0.47%
2025-09-22 00:16:27 | INFO | [KRWBTC-20250920-3D849A] 가격=161,545,000 | 평단=162,308,000 | 등락률=-0.47%
2025-09-22 00:16:32 | INFO | [KRWBTC-20250920-3D849A] 가격=161,545,000 | 평단=162,308,000 | 등락률=-0.47%
2025-09-22 00:16:37 | INFO | [KRWBTC-20250920-3D849A] 가격=161,545,000 | 평단=162,308,000 | 등락률=-0.47%
2025-09-22 00:16:42 | INFO | [KRWBTC-20250920-3D849A] 가격=161,545,000 | 평단=162,308,000 | 등락률=-0.47%
2025-09-22 00:16:47 | INFO | [KRWBTC-20250920-3D849A] 가격=161,545,000 | 평단=162,308,000 | 등락률=-0.47%
2025-09-22 00:16:52 | INFO | [KRWBTC-20250920-3D849A] 가격=161,544,000 | 평단=162,308,000 | 등락률=-0.47%
2025-09-22 00:16:57 | INFO | [KRWBTC-20250920-3D849A] 가격=161,544,000 | 평단=162,308,000 | 등락률=-0.47%
2025-09-22 00:17:02 | INFO | [KRWBTC-20250920-3D849A] 가격=161,544,000 | 평단=162,308,000 | 등락률=-0.47%
2025-09-22 00:17:07 | INFO | [KRWBTC-20250920-3D849A] 가격=161,540,000 | 평단=162,308,000 | 등락률=-0.47%
